,model,label,scaled,best_params,f1_CV,f1_test,accuracy_test,precision_test,recall_test
0,rbf,Family,False,"{'C': 10.0, 'gamma': 1.2000000000000002}",0.977936013663667,0.9810258379776123,0.9911996294580825,0.9916641127807593,0.971480126651176
1,rbf,Genus,False,"{'C': 10.0, 'gamma': 1.3}",0.972815405700976,0.9685069131523852,0.9879573876794813,0.9693973987781377,0.9691287531676616
2,rbf,Species,False,"{'C': 100.0, 'gamma': 2.0}",0.9758917527373889,0.9663976602248308,0.9870310328855951,0.9681874393364718,0.9662279145418559
3,rbf,Family,True,"{'C': 10.0, 'gamma': 0.1}",0.9724481517815514,0.982579760747309,0.9916628068550255,0.9924198261351919,0.973879490772847
4,rbf,Genus,True,"{'C': 10.0, 'gamma': 0.1}",0.9626896597201607,0.960870386365908,0.9856415006947661,0.9723861749571454,0.9508850089887393
5,rbf,Species,True,"{'C': 10.0, 'gamma': 0.1}",0.965661672469933,0.9642487506251374,0.9828624363131079,0.9707592382096211,0.9589244996135555
6,l1,Family,True,{'C': 100.0},0.6945590342044794,0.6897962714686243,0.9319129226493748,0.6896975760471464,0.6901994504753737
7,l1,Genus,True,{'C': 10.0},0.8539785999035127,0.8481247973696961,0.9471977767484947,0.9332362456336847,0.7970944586368751
8,l1,Species,True,{'C': 1.0},0.90613963873675,0.9013084930078339,0.9509031959240389,0.9305497098168862,0.8855113428273806
9,l1 - smote,Family,False,{'clf__C': 100.0},0.7840587484831907,0.782545836036642,0.9078276980083372,0.7322871677079308,0.9347134984778457
10,l1 - smote,Genus,False,{'clf__C': 1.0},0.8133851472496977,0.8122766861149422,0.9129226493747105,0.7591263749590438,0.9204715510044684
11,l1 - smote,Species,False,{'clf__C': 10.0},0.8935030939320014,0.8991734737236581,0.9559981472904122,0.8825300983128652,0.9280802079351685
12,l1 - smote,Family,True,{'clf__C': 10.0},0.7888139826259286,0.7796150434012393,0.9082908754052802,0.7312732949113311,0.9237205070363738
13,l1 - smote,Genus,True,{'clf__C': 1.0},0.8141885935964501,0.8138490577365873,0.9138490041685966,0.7611867901641763,0.9231489402729587
14,l1 - smote,Species,True,{'clf__C': 100.0},0.8942186355886251,0.8984271707292996,0.9555349698934692,0.8824651422122433,0.9268484812526223
